Fragrance,Name:Brand:Launched
Hyacinth,No. 19:Chanel:1971-*-Chamade:Guerlain:1969-*-Amazone (original):Hermès:1974
Mandarin Orange,Allure Sensuelle:Chanel:2005-*-Opium Fleur de Shanghai:Yves Saint Laurent:2005-*-M7 Oud Absolu:Yves Saint Laurent:2011
White Pepper,
Rockrose,
Nettle Flower,Into the Blue:Givenchy:2002
Moss,
Neroli,No. 5:Chanel:1921-*-No. 19:Chanel:1971-*-Chanel Pour Monsieur:Chanel:1955-*-No. 46:Chanel:Unknown-*-No. 19 Poudré:Chanel:2011-*-1932:Chanel:2013-*-Le Bouquet Absolu:Givenchy:2011-*-Dahlia Noir L'Eau:Givenchy:2013-*-L'Heure Bleue:Guerlain:1912-*-Aqua Allegoria Flora Nerolia:Guerlain:2000-*-Eau de Cologne Impériale:Guerlain:1853-*-Vetiver:Guerlain:1961-*-L'Instant d'un Eté pour Homme:Guerlain:2006-*-Cruel Gardenia:Guerlain:2008-*-Shalimar Parfum Initial L'Eau:Guerlain:2012-*-Shalimar Parfum Initial L'Eau:Guerlain:2012-*-Les Déserts d'Orient - Songe d'un Bois d'Été:Guerlain:2012-*-Le Bolshoï Saison 2012 La Traviata:Guerlain:2012-*-Clair de Musc:Serge Lutens Les Salons du Palais Royal Shiseido:2003
Hedione,Givenchy pour Homme Blue Label:Givenchy:2004
White Musk,
Acidulous Grapefruit,Aqua Allegoria Pamplelune:Guerlain:1999
Mayrose,
nan,
Freesia petals,Forever and Ever Dior:Christian Dior:2006
Italian Lemon,Aqua Allegoria Herba Fresca:Guerlain:1999
Almond,La Petite Robe Noire 2012:Guerlain:2012
Turkish Rose,
Incense Absolut,
Green Mandarin,Extravagance D'Amarige:Givenchy:1998
Musk Cetone,
Floral notes,
Petitgrain.,Chanel Pour Monsieur:Chanel:1955
Rose Bud,
Indonesia Patchouli,
Almond Blossom,Champs-Elysées:Guerlain:1904-*-Cinéma:Yves Saint Laurent:2004
Bamboo,
Myrrh,
White cedar,
Plessis robinson rose,
Jacarander Wood,
White thyme,Ange ou Démon:Givenchy:2006
Bulgarian Rose,
Cherry,
Orange Flower,
Green Banana,Enjoy:Jean Patou:2003
Patchouli,Les Déserts d'Orient - Rose Nacrée du Desert:Guerlain:2012
Tonka bean,
Ambrette seed,
Wood notes,
Civet,
Star Anise,Opium pour Homme:Yves Saint Laurent:1995-*-Rive Gauche pour Homme:Yves Saint Laurent:2003
Fresh Notes,Miss Dior Eau Fraîche:Christian Dior:2012
Spearmint,Eau de Givenchy:Givenchy:1980
Mysore Sandalwood,
Heliotrope,
Gaiac Wood,
Fruity notes,Eau de Givenchy:Givenchy:1980
Syringa,
Frangipani blossoms,
Grenadine,
Rhodinol,Géranium pour Monsieur:Editions de Parfums Frederic Malle:2009
Birch leaf,Gentlemen Only:Givenchy:2013
Muguet,Diorissimo:Christian Dior:1956-*-Dolce Vita:Christian Dior:1995
Aquatic Note,Allure Homme Sport:Chanel:2004
Tuscan iris,Clair de Musc:Serge Lutens Les Salons du Palais Royal Shiseido:2003
Juniper Berry,Rocabar:Hermès:1998
Citrus notes,Eau de Dolce Vita:Christian Dior:1998-*-Higher:Christian Dior:2001-*-Higher Black:Christian Dior:2002-*-Aqua Allegoria Flora Nymphéa:Guerlain:2010
Magnolia,Dolce Vita:Christian Dior:1995
Powdery Notes,
Green tea,"Une Ville, un Parfum : Tokyo:Guerlain:2009"
Verbena,Very Irrésistible Givenchy Electric Rose:Givenchy:2012-*-Eau de Cologne Impériale:Guerlain:1853
Salicylate,
Syrax,
Cascarilla,
Sugar and Vanilla,
Garden Roses,Paris Roses Enchantées:Yves Saint Laurent:2005
Lush fruits,
Lily of the valley,Idylle:Guerlain:2009-*-Opium:Yves Saint Laurent:1977
Cypress,
Woody,
Rosewood,Iris Poudre:Editions de Parfums Frederic Malle:2000-*-Habit Rouge:Guerlain:1965-*-Jicky:Guerlain:1889-*-Équipage:Hermès:1970
Tiare flower,Escale aux Marquises:Christian Dior:2010
Nutmeg,Gentlemen Only:Givenchy:2013-*-Rocabar:Hermès:1998-*-L'Homme Libre:Yves Saint Laurent:2011
Rose,Dolce Vita:Christian Dior:1995-*-Dior Addict Eau Sensuelle:Christian Dior:2012-*-Noir Epices:Editions de Parfums Frederic Malle:2000-*-Après L'ondée:Guerlain:1906-*-Mitsouko:Guerlain:1919-*-Liù:Guerlain:1929-*-Nahéma:Guerlain:1979-*-Champs-Elysées:Guerlain:1904-*-Les Déserts d'Orient - Encens Mythique d'Orient:Guerlain:2012-*-La Petite Robe Noire Eau De Toilette:Guerlain:2013-*-Santal Majuscule:Serge Lutens Les Salons du Palais Royal Shiseido:2012-*-Parisienne L'Eau:Yves Saint Laurent:2012
Everlasting flower,
Pink peppercorn,Arsène Lupin Dandy:Guerlain:2010-*-Parisienne L'Essentiel:Yves Saint Laurent:2011
Orange,Coco Mademoiselle:Chanel:2001-*-Allure Homme Sport:Chanel:2004-*-No. 46:Chanel:Unknown-*-Midnight Poison:Christian Dior:2007-*-Bronze Sweet Sun:Christian Dior:Unknown-*-Hypnotic Poison Eau Secrète:Christian Dior:2013-*-Noir Epices:Editions de Parfums Frederic Malle:2000-*-Iris Poudre:Editions de Parfums Frederic Malle:2000-*-Eau de Cologne Impériale:Guerlain:1853-*-Vetiver Eau Glacée:Guerlain:2004-*-Shalimar Parfum Initial:Guerlain:2011-*-Shalimar Parfum Initial L'Eau:Guerlain:2012-*-Shalimar Parfum Initial L'Eau:Guerlain:2012-*-Les Elixirs Charnels - Floral Romantique:Guerlain:2011-*-Eau de Shalimar:Guerlain:2008-*-Le Bolshoï Saison 2012 La Traviata:Guerlain:2012-*-Terre d'Hermès Parfum:Hermès:2009-*-Enjoy:Jean Patou:2003-*-Voyageur:Jean Patou:1994-*-Eau de Patou pour Homme:Jean Patou:1976
Amarillys,
Lily of the valley-ylang-jasmin,
Magnolia flower,
Mineral Notes,M7 Oud Absolu:Yves Saint Laurent:2011
Hint of Vanilla,
May rose,
Magnetic Wood,
Eucalyptus.,Body Kouros:Yves Saint Laurent:2000
Fig tree wood,
Yellow and green lemon,L'Instant d'un Eté pour Homme:Guerlain:2006
Plum,"Very Irrésistible L'Intense:Givenchy:2011-*-Parure:Guerlain:1975-*-Une Ville, un Parfum : Moscow:Guerlain:2009"
Ozone aquatic accords,L'Homme Cologne Gingembre:Yves Saint Laurent:2011
Juniper,
Kumquat,Xeryus Rouge:Givenchy:1995
Wild Rose,
Rhodes Wood,
Animalic notes,
Tobacco.,
Resin,
Citron,Chance Eau Fraîche:Chanel:2007-*-Elle:Yves Saint Laurent:2007
Candied orange,Very Irrésistible Poesie d'un Parfum d'Hiver:Givenchy:2011
Star Anise crystals,L'Instant d'un Eté pour Homme:Guerlain:2006
Maxillaria orchid,
Elemi,
Hot Pepper,Patou pour Homme:Jean Patou:1980
Oakmoss,
Artemisia,Xeryus:Givenchy:1986-*-Derby:Guerlain:1985-*-Vetiver Extreme:Guerlain:2006-*-Jazz:Yves Saint Laurent:1988
Fruit,
Lentiscus.,
Suede,
Water jasmine,Forever and Ever Dior:Christian Dior:2006
Anise,Very Irrésistible Tropical Paradise:Givenchy:2011-*-La Nuit de L'Homme Le Parfum:Yves Saint Laurent:2010
Carnation.,Iris Poudre:Editions de Parfums Frederic Malle:2000
Amaryllis,
Calabria Bergamot,L'Homme Libre:Yves Saint Laurent:2011
Buddleia,
Mace,
White Orchid.,
Hesperidian Notes,Monsieur de Givenchy:Givenchy:1959
Basil.,Insensé:Givenchy:1993
White peony,
Hawthorn,Fahrenheit:Christian Dior:1988-*-Daim Blond:Serge Lutens Les Salons du Palais Royal Shiseido:2004
Narcissus,Vol de Nuit:Guerlain:1933
Chinese ginger,
Irridescent Lavender,
Orange flower,Play Intense for Her:Givenchy:2010
French Vanilla,
Green,Pi:Givenchy:1999
Olibanum,
Black pepper,
Pomegranate,Dior Addict to Life:Christian Dior:2011
Wild Berries,Aqua Allegoria Flora Nymphéa:Guerlain:2010
Almond Wood,
Lotus,
Ambrox,
May Rose,
Bulgarian rose,
Asil,Diorella:Christian Dior:1972
Blonde woods,
Jasmine,Grand Bal:Christian Dior:2012-*-Le Parfum de Thérèse:Editions de Parfums Frederic Malle:2000-*-Une Fleur de Cassie:Editions de Parfums Frederic Malle:2000-*-Dans Tes Bras:Editions de Parfums Frederic Malle:2008-*-Pi Fraiche:Givenchy:2001-*-Chamade:Guerlain:1969-*-Samsara:Guerlain:1989-*-Idylle:Guerlain:2009-*-Les Elixirs Charnels - Floral Romantique:Guerlain:2011-*-La Petite Robe Noire Eau De Toilette:Guerlain:2013-*-Elle Shocking:Yves Saint Laurent:2007
Bitter orange,Escale a Parati:Christian Dior:2012-*-Eau des Merveilles Au Bal des Etoiles:Hermès:2012
