Fragrance,Name:Brand:Launched
Gaiac wood,
Honeysuckle,Fahrenheit:Christian Dior:1988-*-Chant DArômes:Guerlain:1962
Sage,
Lenstiscus,
Alba Rose Buds,Paris Premières Roses:Yves Saint Laurent:2003
Laotian Oud Essence,
Damascus rose,
Cedar Crystals,Chêne:Serge Lutens Les Salons du Palais Royal Shiseido:2004
basil,
Sweet Pea,
Lavender of Vaucluse,
Apple,
Capiscum,
Sambac jasmine,
Szechuan Pepper,
Green and Fresh,Mayotte / Mahora:Guerlain:2000
Green mandarin,Gentlemen Only:Givenchy:2013
Cloves,
Winter Bergamot,Into the Blue:Givenchy:2002
Tunisian Neroli,Les Secrets de Sophie:Guerlain:2009
Mandrake root.,
Mimosa Blossom,
Tolu Balm,
Rhubarb,"Une Ville, un Parfum : London:Guerlain:2011-*-Baby Doll Paris:Yves Saint Laurent:1999-*-Baby Doll Honeymoon:Yves Saint Laurent:2009"
Almond flower,Lights of Champs-Élysées:Guerlain:2006
Tobacco,
Hesperidic Notes,Petit Guerlain:Guerlain:1994
Black Currant Leaf,Paris Roses des Vergers Springtime:Yves Saint Laurent:2006
Frozen Cedrat,Kouros Cologne Sport:Yves Saint Laurent:2003
Indonesian Patchouli,
Woody notes,
Coconut,
Mandarin  from Calabria and Essence of Saffron,Ange ou Démon:Givenchy:2006
Balsamic notes,
Jasmin,
Angelica,Coco:Chanel:1984
Bigarade Orange,Les Secrets de Sophie:Guerlain:2009
African Geranium.,
Lemon,"Chanel Pour Monsieur:Chanel:1955-*-Eau Sauvage:Christian Dior:1966-*-Granville:Christian Dior:2010-*-Escale a Parati:Christian Dior:2012-*-Eau Torride:Givenchy:2002-*-Very Irrésistible Givenchy Electric Rose:Givenchy:2012-*-Dahlia Noir Eau de Toilette:Givenchy:2012-*-Philtre d'Amour:Guerlain:2000-*-Derby:Guerlain:1985-*-Eau de Guerlain:Guerlain:1974-*-Eau de Cologne Impériale:Guerlain:1853-*-Habit Rouge:Guerlain:1965-*-Héritage:Guerlain:1992-*-Jicky:Guerlain:1889-*-Vetiver:Guerlain:1961-*-Vetiver Extreme:Guerlain:2006-*-Une Ville, un Parfum : Moscow:Guerlain:2009-*-Shalimar Ode à la Vanille:Guerlain:2010-*-Bel Ami:Hermès:1986-*-Eau d'Orange Verte:Hermès:1979-*-YSL pour Homme:Yves Saint Laurent:1971-*-La Nuit de L'Homme Frozen Cologne:Yves Saint Laurent:2012"
Benzoin,
Lilac,Idylle:Guerlain:2009
